INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00001', 'ST0002', TO_TIMESTAMP('2025-01-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00039', 'ST0304', TO_TIMESTAMP('2025-04-11 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00040', 'ST0306', TO_TIMESTAMP('2025-04-11 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00041', 'ST0365', TO_TIMESTAMP('2025-04-12 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00042', 'ST0375', TO_TIMESTAMP('2025-04-13 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00043', 'ST0377', TO_TIMESTAMP('2025-04-14 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00044', 'ST0390', TO_TIMESTAMP('2025-09-04 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00045', 'ST0399', TO_TIMESTAMP('2025-04-15 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00046', 'ST0407', TO_TIMESTAMP('2025-04-16 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00047', 'ST0427', TO_TIMESTAMP('2025-04-17 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00048', 'ST0480', TO_TIMESTAMP('2025-04-18 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00049', 'ST0002', TO_TIMESTAMP('2025-09-05 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00050', 'ST0009', TO_TIMESTAMP('2025-04-19 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00051', 'ST0002', TO_TIMESTAMP('2025-04-20 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00052', 'ST0009', TO_TIMESTAMP('2025-04-21 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00053', 'ST0034', TO_TIMESTAMP('2025-04-22 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00054', 'ST0055', TO_TIMESTAMP('2025-09-06 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00055', 'ST0096', TO_TIMESTAMP('2025-04-23 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00056', 'ST0097', TO_TIMESTAMP('2025-04-24 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00057', 'ST0099', TO_TIMESTAMP('2025-04-25 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00058', 'ST0108', TO_TIMESTAMP('2025-04-26 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00059', 'ST0129', TO_TIMESTAMP('2025-09-06 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00060', 'ST0157', TO_TIMESTAMP('2025-04-27 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00061', 'ST0160', TO_TIMESTAMP('2025-04-28 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00062', 'ST0180', TO_TIMESTAMP('2025-04-29 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00063', 'ST0215', TO_TIMESTAMP('2025-04-30 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00064', 'ST0260', TO_TIMESTAMP('2025-09-08 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00065', 'ST0304', TO_TIMESTAMP('2025-05-01 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00066', 'ST0306', TO_TIMESTAMP('2025-05-02 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00067', 'ST0365', TO_TIMESTAMP('2025-05-03 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00068', 'ST0375', TO_TIMESTAMP('2025-05-04 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00069', 'ST0377', TO_TIMESTAMP('2025-09-09 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00070', 'ST0390', TO_TIMESTAMP('2025-05-05 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00071', 'ST0399', TO_TIMESTAMP('2025-05-06 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00072', 'ST0407', TO_TIMESTAMP('2025-05-07 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00073', 'ST0427', TO_TIMESTAMP('2025-05-08 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00074', 'ST0480', TO_TIMESTAMP('2025-09-10 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00075', 'ST0002', TO_TIMESTAMP('2025-05-09 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00076', 'ST0009', TO_TIMESTAMP('2025-05-10 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00077', 'ST0034', TO_TIMESTAMP('2025-05-11 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00078', 'ST0055', TO_TIMESTAMP('2025-05-12 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00079', 'ST0096', TO_TIMESTAMP('2025-09-10 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00080', 'ST0097', TO_TIMESTAMP('2025-05-13 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00081', 'ST0099', TO_TIMESTAMP('2025-05-14 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00082', 'ST0108', TO_TIMESTAMP('2025-05-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00083', 'ST0129', TO_TIMESTAMP('2025-05-16 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00084', 'ST0157', TO_TIMESTAMP('2025-09-12 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00085', 'ST0160', TO_TIMESTAMP('2025-05-17 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00086', 'ST0180', TO_TIMESTAMP('2025-05-18 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00087', 'ST0215', TO_TIMESTAMP('2025-05-19 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00088', 'ST0260', TO_TIMESTAMP('2025-05-20 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00089', 'ST0304', TO_TIMESTAMP('2025-09-13 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00090', 'ST0306', TO_TIMESTAMP('2025-05-21 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00091', 'ST0365', TO_TIMESTAMP('2025-05-22 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00092', 'ST0375', TO_TIMESTAMP('2025-05-23 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00093', 'ST0377', TO_TIMESTAMP('2025-05-24 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00094', 'ST0390', TO_TIMESTAMP('2025-09-14 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00095', 'ST0399', TO_TIMESTAMP('2025-05-25 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00096', 'ST0407', TO_TIMESTAMP('2025-05-26 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00097', 'ST0427', TO_TIMESTAMP('2025-05-27 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00098', 'ST0480', TO_TIMESTAMP('2025-05-28 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00099', 'ST0002', TO_TIMESTAMP('2025-09-14 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00100', 'ST0009', TO_TIMESTAMP('2025-05-29 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00101', 'ST0034', TO_TIMESTAMP('2025-05-30 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00102', 'ST0055', TO_TIMESTAMP('2025-05-31 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00103', 'ST0096', TO_TIMESTAMP('2025-06-01 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00104', 'ST0097', TO_TIMESTAMP('2025-09-16 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00105', 'ST0099', TO_TIMESTAMP('2025-06-02 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00106', 'ST0108', TO_TIMESTAMP('2025-06-03 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00107', 'ST0129', TO_TIMESTAMP('2025-06-04 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00108', 'ST0157', TO_TIMESTAMP('2025-06-05 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00109', 'ST0160', TO_TIMESTAMP('2025-09-17 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00110', 'ST0180', TO_TIMESTAMP('2025-06-06 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00111', 'ST0215', TO_TIMESTAMP('2025-06-07 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00112', 'ST0260', TO_TIMESTAMP('2025-06-08 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00113', 'ST0304', TO_TIMESTAMP('2025-06-09 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00114', 'ST0306', TO_TIMESTAMP('2025-09-18 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00115', 'ST0365', TO_TIMESTAMP('2025-06-10 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00116', 'ST0375', TO_TIMESTAMP('2025-06-11 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00117', 'ST0377', TO_TIMESTAMP('2025-06-12 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00118', 'ST0390', TO_TIMESTAMP('2025-06-13 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00119', 'ST0399', TO_TIMESTAMP('2025-09-18 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00120', 'ST0407', TO_TIMESTAMP('2025-06-14 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00121', 'ST0427', TO_TIMESTAMP('2025-06-15 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00122', 'ST0480', TO_TIMESTAMP('2025-06-16 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00123', 'ST0002', TO_TIMESTAMP('2025-06-17 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00124', 'ST0009', TO_TIMESTAMP('2025-09-20 08:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00125', 'ST0034', TO_TIMESTAMP('2025-06-18 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00126', 'ST0055', TO_TIMESTAMP('2025-06-19 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00127', 'ST0096', TO_TIMESTAMP('2025-06-20 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00128', 'ST0097', TO_TIMESTAMP('2025-06-21 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00129', 'ST0099', TO_TIMESTAMP('2025-09-21 10:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00130', 'ST0108', TO_TIMESTAMP('2025-06-22 13:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00131', 'ST0129', TO_TIMESTAMP('2025-06-23 08:30:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00132', 'ST0157', TO_TIMESTAMP('2025-06-24 11:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00133', 'ST0160', TO_TIMESTAMP('2025-06-25 09:00:00', 'YYYY-MM-DD HH24:MI:SS'));
INSERT INTO maintenanceStaffAssignment (maintenanceId, staffId, assignedAt) VALUES ('M00134', 'ST0180', TO_TIMESTAMP('2025-09-22 14:00:00', 'YYYY-MM-DD HH24:MI:SS'));
