INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000001', 'S000010', 'BP221', TO_TIMESTAMP('2025-03-13 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-13 06:49', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000012', 'S000069', 'BP276', TO_TIMESTAMP('2025-03-23 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-23 12:28', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000013', 'S000097', 'BP179', TO_TIMESTAMP('2025-03-10 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-10 14:01', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000014', 'S000039', 'BP110', TO_TIMESTAMP('2025-03-14 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-14 14:17', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000015', 'S000076', 'BP379', TO_TIMESTAMP('2025-03-15 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-15 14:15', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000016', 'S000057', 'BP044', TO_TIMESTAMP('2025-03-05 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-05 13:12', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000017', 'S000028', 'BP093', TO_TIMESTAMP('2025-03-07 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 07:34', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Mechanical issue delayed departure');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000018', 'S000095', 'BP335', TO_TIMESTAMP('2025-03-02 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 10:01', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000019', 'S000085', 'BP266', TO_TIMESTAMP('2025-03-11 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-11 15:37', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Weather conditions caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000020', 'S000056', 'BP322', TO_TIMESTAMP('2025-03-24 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-24 10:48', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to breakdown');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000021', 'S000023', 'BP024', TO_TIMESTAMP('2025-03-24 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-24 11:53', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000022', 'S000071', 'BP356', TO_TIMESTAMP('2025-03-02 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 15:39', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Mechanical issue delayed departure');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000023', 'S000090', 'BP214', TO_TIMESTAMP('2025-03-08 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 15:16', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000024', 'S000097', 'BP291', TO_TIMESTAMP('2025-03-26 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-26 12:33', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000025', 'S000090', 'BP115', TO_TIMESTAMP('2025-03-02 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 11:02', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000026', 'S000056', 'BP052', TO_TIMESTAMP('2025-03-10 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-10 12:49', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000027', 'S000078', 'BP121', TO_TIMESTAMP('2025-03-02 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 13:16', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000028', 'S000063', 'BP295', TO_TIMESTAMP('2025-03-18 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 15:05', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000029', 'S000065', 'BP275', TO_TIMESTAMP('2025-03-01 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-01 14:44', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000030', 'S000026', 'BP108', TO_TIMESTAMP('2025-03-18 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 15:23', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Weather conditions caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000031', 'S000010', 'BP161', TO_TIMESTAMP('2025-03-23 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-23 07:05', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000032', 'S000002', 'BP356', TO_TIMESTAMP('2025-03-22 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-22 12:46', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000033', 'S000014', 'BP157', TO_TIMESTAMP('2025-03-07 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 07:46', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000034', 'S000015', 'BP361', TO_TIMESTAMP('2025-03-19 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-19 07:02', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000035', 'S000025', 'BP276', TO_TIMESTAMP('2025-03-04 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-04 13:41', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000036', 'S000044', 'BP343', TO_TIMESTAMP('2025-03-18 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 09:55', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000037', 'S000014', 'BP399', TO_TIMESTAMP('2025-03-27 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 08:44', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000038', 'S000098', 'BP040', TO_TIMESTAMP('2025-03-26 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-26 14:22', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000039', 'S000079', 'BP360', TO_TIMESTAMP('2025-03-28 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-28 09:27', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000040', 'S000099', 'BP053', TO_TIMESTAMP('2025-03-08 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-08 10:48', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000041', 'S000003', 'BP345', TO_TIMESTAMP('2025-03-14 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-14 13:01', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to breakdown');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000042', 'S000013', 'BP301', TO_TIMESTAMP('2025-03-21 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-21 09:00', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000043', 'S000048', 'BP159', TO_TIMESTAMP('2025-03-27 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 15:54', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000044', 'S000052', 'BP399', TO_TIMESTAMP('2025-03-04 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-04 13:45', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Weather conditions caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000045', 'S000048', 'BP263', TO_TIMESTAMP('2025-03-05 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-05 11:48', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000046', 'S000074', 'BP278', TO_TIMESTAMP('2025-03-21 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-21 07:13', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000047', 'S000008', 'BP128', TO_TIMESTAMP('2025-03-27 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 15:41', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Weather conditions caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000048', 'S000100', 'BP239', TO_TIMESTAMP('2025-03-27 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 13:11', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000049', 'S000052', 'BP086', TO_TIMESTAMP('2025-03-30 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-30 12:11', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Mechanical issue delayed departure');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000050', 'S000084', 'BP033', TO_TIMESTAMP('2025-03-24 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-24 08:34', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to breakdown');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000051', 'S000061', 'BP143', TO_TIMESTAMP('2025-03-18 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 12:28', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000052', 'S000085', 'BP010', TO_TIMESTAMP('2025-03-05 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-05 14:25', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000053', 'S000043', 'BP179', TO_TIMESTAMP('2025-03-18 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 11:26', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000054', 'S000096', 'BP145', TO_TIMESTAMP('2025-03-02 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 06:33', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000055', 'S000005', 'BP370', TO_TIMESTAMP('2025-03-12 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-12 09:22', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000056', 'S000070', 'BP220', TO_TIMESTAMP('2025-03-17 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-17 07:21', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000057', 'S000094', 'BP283', TO_TIMESTAMP('2025-03-15 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-15 09:45', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Mechanical issue delayed departure');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000058', 'S000010', 'BP295', TO_TIMESTAMP('2025-03-27 08:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 09:42', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to weather');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000059', 'S000027', 'BP341', TO_TIMESTAMP('2025-03-03 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-03 08:56', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000060', 'S000094', 'BP241', TO_TIMESTAMP('2025-03-25 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-25 11:03', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000061', 'S000038', 'BP275', TO_TIMESTAMP('2025-03-14 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-14 14:55', 'YYYY-MM-DD HH24:MI'), 'delayed', 'Traffic jam caused delay');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000062', 'S000080', 'BP028', TO_TIMESTAMP('2025-03-18 06:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 07:18', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000063', 'S000042', 'BP039', TO_TIMESTAMP('2025-03-12 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-12 15:00', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000064', 'S000089', 'BP052', TO_TIMESTAMP('2025-03-17 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-17 15:07', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000065', 'S000020', 'BP292', TO_TIMESTAMP('2025-03-31 14:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-31 15:01', 'YYYY-MM-DD HH24:MI'), 'departed', 'Left platform as planned');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000066', 'S000100', 'BP160', TO_TIMESTAMP('2025-03-14 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-14 09:24', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000067', 'S000001', 'BP141', TO_TIMESTAMP('2025-03-30 07:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-30 08:18', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000068', 'S000031', 'BP180', TO_TIMESTAMP('2025-03-06 13:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-06 14:48', 'YYYY-MM-DD HH24:MI'), 'departed', 'Departed on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000069', 'S000054', 'BP208', TO_TIMESTAMP('2025-03-12 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-12 11:51', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to weather');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000070', 'S000013', 'BP276', TO_TIMESTAMP('2025-03-10 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-10 11:23', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000071', 'S000045', 'BP250', TO_TIMESTAMP('2025-03-07 11:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-07 12:05', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to low demand');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000072', 'S000021', 'BP013', TO_TIMESTAMP('2025-03-12 09:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-12 09:41', 'YYYY-MM-DD HH24:MI'), 'cancelled', 'Trip cancelled due to weather');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000073', 'S000011', 'BP304', TO_TIMESTAMP('2025-03-24 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-24 10:55', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Arrived on time');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000074', 'S000088', 'BP300', TO_TIMESTAMP('2025-03-18 10:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-18 10:59', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
INSERT INTO tripStopLog (tripStopId, busScheduleId, platformId, actualArrivalTime, actualDepartureTime, status, remarks) VALUES ('TS000075', 'S000038', 'BP246', TO_TIMESTAMP('2025-03-02 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-02 12:44', 'YYYY-MM-DD HH24:MI'), 'arrived', 'Reached as scheduled');
