INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000001', 'CU0050', 'T00000000001', 25.00, 20.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-20 13:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00001', 'Payment for T00000000001', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000032', 'CU0004', 'T00000000032', 30.00, 20.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-06 20:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00032', 'Payment for T00000000032', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000033', 'CU0045', 'T00000000033', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-17 14:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00033', 'Payment for T00000000033', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000034', 'CU0022', 'T00000000034', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-16 12:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00034', 'Payment for T00000000034', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000035', 'CU0034', 'T00000000035', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-04 20:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00035', 'Payment for T00000000035', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000036', 'CU0027', 'T00000000036', 25.00, 15.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-05 18:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00036', 'Payment for T00000000036', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000037', 'CU0031', 'T00000000037', 25.00, 5.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-06 20:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00037', 'Payment for T00000000037', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000038', 'CU0096', 'T00000000038', 35.00, 15.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-12 16:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00038', 'Payment for T00000000038', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000039', 'CU0040', 'T00000000039', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-23 16:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00039', 'Payment for T00000000039', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000040', 'CU0040', 'T00000000040', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-05 11:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00040', 'Payment for T00000000040', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000041', 'CU0055', 'T00000000041', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-17 14:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00041', 'Payment for T00000000041', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000042', 'CU0075', 'T00000000042', 20.00, 20.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-10 16:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00042', 'Payment for T00000000042', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000043', 'CU0037', 'T00000000043', 30.00, 30.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-11 19:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00043', 'Payment for T00000000043', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000044', 'CU0001', 'T00000000044', 40.00, 30.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-21 08:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00044', 'Payment for T00000000044', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000045', 'CU0024', 'T00000000045', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-06 10:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00045', 'Payment for T00000000045', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000046', 'CU0095', 'T00000000046', 20.00, 20.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-26 06:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00046', 'Payment for T00000000046', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000047', 'CU0098', 'T00000000047', 35.00, 15.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-19 16:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00047', 'Payment for T00000000047', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000048', 'CU0065', 'T00000000048', 25.00, 15.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-09 09:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00048', 'Payment for T00000000048', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000049', 'CU0094', 'T00000000049', 30.00, 10.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-26 06:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00049', 'Payment for T00000000049', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000050', 'CU0056', 'T00000000050', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-23 18:00', 'YYYY-MM-DD HH24:MI'), 'RCPT-00050', 'Payment for T00000000050', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000051', 'CU0097', 'T00000000051', 40.00, 40.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-01 08:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00051', 'Payment for T00000000051', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000052', 'CU0092', 'T00000000052', 30.00, 10.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-01 12:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00052', 'Payment for T00000000052', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000053', 'CU0089', 'T00000000053', 20.00, 15.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-29 14:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00053', 'Payment for T00000000053', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000054', 'CU0099', 'T00000000054', 30.00, 20.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-01 15:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00054', 'Payment for T00000000054', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000055', 'CU0004', 'T00000000055', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-18 09:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00055', 'Payment for T00000000055', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000056', 'CU0043', 'T00000000056', 40.00, 35.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-07 13:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00056', 'Payment for T00000000056', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000057', 'CU0027', 'T00000000057', 25.00, 5.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-03-12 19:15', 'YYYY-MM-DD HH24:MI'), 'RCPT-00057', 'Payment for T00000000057', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000058', 'CU0027', 'T00000000058', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-04-09 12:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00058', 'Payment for T00000000058', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000059', 'CU0070', 'T00000000059', 20.00, 0.00, 200, 20.00, 'completed', TO_TIMESTAMP('2025-04-07 12:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00059', 'Payment for T00000000059', 'E-Wallet', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000060', 'CU0085', 'T00000000060', 30.00, 25.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-14 09:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00060', 'Payment for T00000000060', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000061', 'CU0079', 'T00000000061', 20.00, 15.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-04 16:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00061', 'Payment for T00000000061', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000062', 'CU0040', 'T00000000062', 20.00, 10.00, 100, 10.00, 'completed', TO_TIMESTAMP('2025-03-14 08:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00062', 'Payment for T00000000062', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000063', 'CU0023', 'T00000000063', 35.00, 35.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-03-23 18:30', 'YYYY-MM-DD HH24:MI'), 'RCPT-00063', 'Payment for T00000000063', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000064', 'CU0036', 'T00000000064', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-04-28 10:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00064', 'Payment for T00000000064', 'Cash', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000065', 'CU0081', 'T00000000065', 20.00, 20.00, 0, 0.00, 'completed', TO_TIMESTAMP('2025-04-09 13:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00065', 'Payment for T00000000065', 'Credit Card', 'ticket');
INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type) VALUES ('P000066', 'CU0081', 'T00000000066', 35.00, 30.00, 50, 5.00, 'completed', TO_TIMESTAMP('2025-03-21 16:45', 'YYYY-MM-DD HH24:MI'), 'RCPT-00066', 'Payment for T00000000066', 'E-Wallet', 'ticket');
