INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40001, 4289, 80069, 50030, TO_DATE('2022-06-24 02:25:54', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-11-26 04:22:18', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40012, 4069, 80132, 50292, TO_DATE('2023-02-25 05:23:38', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-11-05 02:10:22', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40013, 4015, 80388, 50377, TO_DATE('2021-01-08 01:16:46', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-11-30 03:54:17', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40014, 4022, 80226, 50192, TO_DATE('2020-03-28 00:19:10', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-07-24 09:43:14', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40015, 4359, 80199, 50025, TO_DATE('2020-11-29 20:43:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-02-20 10:03:01', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40016, 4041, 80289, 50135, TO_DATE('2020-05-31 17:02:24', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-12-09 08:46:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40017, 4432, 80247, 50134, TO_DATE('2022-09-20 23:14:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-08-08 04:12:18', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40018, 4428, 80208, 50094, TO_DATE('2021-10-26 20:41:51', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-12-28 14:10:45', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40019, 4103, 80415, 50184, TO_DATE('2023-07-21 13:31:41', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-03-24 17:07:44', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40020, 4099, 80266, 50138, TO_DATE('2020-05-06 03:34:18', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-04-30 09:33:19', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40021, 4043, 80428, 50456, TO_DATE('2021-08-12 19:10:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-05-05 14:22:08', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40022, 4398, 80056, 50468, TO_DATE('2023-01-26 19:06:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-01-16 00:48:29', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40023, 4462, 80333, 50383, TO_DATE('2023-06-28 23:03:04', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-09-20 01:07:22', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40024, 4396, 80203, 50382, TO_DATE('2023-01-19 05:44:19', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-06-29 07:40:48', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40025, 4394, 80458, 50023, TO_DATE('2020-06-21 22:45:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-12-22 17:04:41', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40026, 4120, 80203, 50188, TO_DATE('2021-07-25 10:39:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-11-18 18:17:38', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40027, 4442, 80018, 50240, TO_DATE('2021-01-02 13:34:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-07-08 07:02:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40028, 4309, 80495, 50259, TO_DATE('2020-11-18 13:06:08', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-09-04 18:12:01', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40029, 4346, 80251, 50049, TO_DATE('2022-10-25 23:23:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-05-13 12:42:50', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40030, 4135, 80064, 50081, TO_DATE('2020-12-17 10:49:24', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-05-01 18:14:44', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40031, 4318, 80022, 50372, TO_DATE('2022-04-07 19:24:35', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-09-07 13:35:20', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40032, 4328, 80074, 50089, TO_DATE('2021-12-07 21:31:40', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-12-07 12:55:45', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40033, 4216, 80191, 50002, TO_DATE('2023-12-25 23:25:31', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-12-09 16:57:36', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40034, 4097, 80021, 50486, TO_DATE('2023-08-17 11:13:01', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-12-26 06:28:26', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40035, 4088, 80402, 50073, TO_DATE('2020-01-24 08:08:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-03-02 20:03:07', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40036, 4470, 80036, 50042, TO_DATE('2023-12-07 16:44:43', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-08-31 19:03:45', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40037, 4330, 80391, 50055, TO_DATE('2023-03-27 23:45:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-06-20 20:31:03', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40038, 4194, 80219, 50296, TO_DATE('2021-01-11 23:51:21', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-10-23 07:05:34', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40039, 4298, 80369, 50197, TO_DATE('2023-02-07 07:37:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-01-17 22:20:53', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40040, 4293, 80233, 50233, TO_DATE('2022-02-11 12:55:47', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-09-19 22:40:16', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40041, 4197, 80046, 50097, TO_DATE('2022-12-31 02:15:45', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-10-05 03:06:41', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40042, 4052, 80166, 50326, TO_DATE('2022-01-04 09:15:49', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-12-22 02:23:13', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40043, 4348, 80329, 50187, TO_DATE('2020-03-17 22:18:35', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-10-11 21:01:01', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40044, 4219, 80363, 50407, TO_DATE('2021-04-30 15:34:17', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-12-29 12:37:15', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40045, 4131, 80389, 50282, TO_DATE('2023-12-05 20:53:07', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-03-16 22:18:12', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40046, 4294, 80092, 50261, TO_DATE('2020-11-26 09:02:22', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-02-20 07:59:07', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40047, 4118, 80427, 50399, TO_DATE('2023-02-05 07:12:39', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-06-16 04:53:30', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40048, 4180, 80203, 50209, TO_DATE('2020-02-08 21:05:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-08-15 19:21:16', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40049, 4037, 80262, 50132, TO_DATE('2021-07-23 00:53:05', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-11-02 17:02:54', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40050, 4151, 80382, 50229, TO_DATE('2020-01-18 03:27:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-10-08 02:31:07', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40051, 4290, 80442, 50107, TO_DATE('2020-06-09 01:23:30', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-04-27 03:58:06', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40052, 4021, 80118, 50023, TO_DATE('2022-07-18 23:18:56', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-05-26 16:09:25', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40053, 4390, 80131, 50384, TO_DATE('2020-08-05 10:08:12', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-11-18 04:55:03', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40054, 4484, 80191, 50354, TO_DATE('2022-03-06 01:12:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-01-11 13:12:11', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40055, 4110, 80286, 50250, TO_DATE('2022-12-11 16:55:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-07-28 07:10:02', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40056, 4054, 80078, 50458, TO_DATE('2023-07-17 03:11:11', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-09-30 10:55:54', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40057, 4468, 80268, 50436, TO_DATE('2022-05-31 16:56:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-03-12 17:48:58', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40058, 4100, 80154, 50197, TO_DATE('2022-12-11 21:42:27', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-01-06 19:23:01', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40059, 4263, 80062, 50120, TO_DATE('2022-07-27 15:30:25', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-05-05 18:21:36', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40060, 4309, 80150, 50140, TO_DATE('2022-12-06 10:09:29', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-08-23 08:24:58', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40061, 4422, 80003, 50157, TO_DATE('2021-01-28 11:24:23', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-11-25 18:03:48', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40062, 4408, 80129, 50098, TO_DATE('2023-03-19 08:10:32', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-11-01 06:23:37', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40063, 4215, 80478, 50288, TO_DATE('2021-09-30 01:34:10', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-07-06 19:05:19', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40064, 4010, 80114, 50185, TO_DATE('2022-05-11 07:12:38', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-05-28 13:47:53', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40065, 4092, 80299, 50329, TO_DATE('2020-09-14 18:22:55', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-02-18 10:09:13', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40066, 4433, 80266, 50215, TO_DATE('2023-10-05 17:38:48', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-06-12 07:22:59', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40067, 4392, 80042, 50403, TO_DATE('2020-04-13 20:25:06', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-10-13 21:25:03', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40068, 4167, 80008, 50422, TO_DATE('2023-12-06 17:20:40', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-03-13 22:30:52', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40069, 4146, 80312, 50126, TO_DATE('2023-09-17 17:13:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-12-05 21:58:53', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40070, 4310, 80081, 50114, TO_DATE('2023-05-17 22:15:17', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-01-17 20:16:15', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40071, 4093, 80046, 50446, TO_DATE('2021-10-30 20:07:31', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2023-01-08 12:24:27', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40072, 4197, 80214, 50302, TO_DATE('2022-07-29 13:10:36', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-02-23 03:14:19', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40073, 4036, 80413, 50230, TO_DATE('2023-08-29 09:58:59', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-02-10 19:17:56', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40074, 4456, 80246, 50470, TO_DATE('2023-06-08 20:11:18', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2022-09-19 18:23:02', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40075, 4331, 80152, 50267, TO_DATE('2021-02-24 15:50:43', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-05-29 21:46:21', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40076, 4487, 80317, 50112, TO_DATE('2022-07-26 01:19:37', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-04-04 04:27:27', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40077, 4467, 80353, 50439, TO_DATE('2022-01-11 11:56:14', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2021-07-19 21:08:29', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
INSERT INTO DriverAssignment (assignmentID, driverID, busID, busScheduleID, assignedFrom, assignedTo, status, remarks) VALUES (40078, 4325, 80208, 50166, TO_DATE('2021-02-15 16:56:15', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2020-11-08 03:18:08', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Daily trip assignment');
