INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80001, 318, 'BUS80001', 'Recognize Model', 36, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80033, 308, 'BUS80033', 'Fear Model', 31, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80034, 306, 'BUS80034', 'Law Model', 37, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80035, 304, 'BUS80035', 'Road Model', 35, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80036, 316, 'BUS80036', 'Establish Model', 39, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80037, 305, 'BUS80037', 'Day Model', 50, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80038, 310, 'BUS80038', 'Recently Model', 42, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80039, 301, 'BUS80039', 'Spend Model', 37, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80040, 304, 'BUS80040', 'Thing Model', 43, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80041, 320, 'BUS80041', 'Director Model', 49, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80042, 318, 'BUS80042', 'Only Model', 48, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80043, 319, 'BUS80043', 'Out Model', 40, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80044, 306, 'BUS80044', 'Author Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80045, 317, 'BUS80045', 'Authority Model', 50, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80046, 302, 'BUS80046', 'Anyone Model', 47, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80047, 304, 'BUS80047', 'Two Model', 36, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80048, 309, 'BUS80048', 'Ten Model', 40, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80049, 320, 'BUS80049', 'Trip Model', 34, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80050, 309, 'BUS80050', 'Worry Model', 36, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80051, 305, 'BUS80051', 'Live Model', 45, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80052, 320, 'BUS80052', 'Community Model', 36, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80053, 309, 'BUS80053', 'Speak Model', 36, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80054, 304, 'BUS80054', 'School Model', 32, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80055, 310, 'BUS80055', 'Walk Model', 40, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80056, 304, 'BUS80056', 'Thus Model', 48, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80057, 313, 'BUS80057', 'Race Model', 37, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80058, 314, 'BUS80058', 'Poor Model', 42, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80059, 319, 'BUS80059', 'However Model', 40, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80060, 318, 'BUS80060', 'Short Model', 47, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80061, 318, 'BUS80061', 'Course Model', 39, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80062, 320, 'BUS80062', 'Serve Model', 35, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80063, 317, 'BUS80063', 'And Model', 43, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80064, 317, 'BUS80064', 'Other Model', 45, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80065, 312, 'BUS80065', 'Thus Model', 33, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80066, 316, 'BUS80066', 'Discuss Model', 41, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80067, 316, 'BUS80067', 'It Model', 37, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80068, 319, 'BUS80068', 'You Model', 49, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80069, 312, 'BUS80069', 'Should Model', 30, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80070, 314, 'BUS80070', 'Discussion Model', 36, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80071, 311, 'BUS80071', 'Respond Model', 36, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80072, 314, 'BUS80072', 'Perhaps Model', 30, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80073, 302, 'BUS80073', 'Represent Model', 40, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80074, 320, 'BUS80074', 'Stop Model', 45, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80075, 307, 'BUS80075', 'Investment Model', 35, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80076, 319, 'BUS80076', 'Result Model', 48, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80077, 301, 'BUS80077', 'Carry Model', 48, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80078, 317, 'BUS80078', 'Job Model', 45, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80079, 318, 'BUS80079', 'Professional Model', 47, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80080, 302, 'BUS80080', 'Treat Model', 46, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80081, 301, 'BUS80081', 'Better Model', 32, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80082, 306, 'BUS80082', 'Arm Model', 39, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80083, 319, 'BUS80083', 'Begin Model', 37, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80084, 308, 'BUS80084', 'Action Model', 45, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80085, 305, 'BUS80085', 'Turn Model', 48, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80086, 308, 'BUS80086', 'Soon Model', 42, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80087, 305, 'BUS80087', 'Section Model', 41, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80088, 319, 'BUS80088', 'Kitchen Model', 37, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80089, 301, 'BUS80089', 'Company Model', 36, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80090, 304, 'BUS80090', 'Than Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80091, 305, 'BUS80091', 'Forget Model', 46, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80092, 314, 'BUS80092', 'Environmental Model', 35, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80093, 305, 'BUS80093', 'Piece Model', 33, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80094, 315, 'BUS80094', 'Movie Model', 47, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80095, 304, 'BUS80095', 'Trip Model', 40, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80096, 305, 'BUS80096', 'Major Model', 50, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80097, 302, 'BUS80097', 'Positive Model', 42, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80098, 314, 'BUS80098', 'Cause Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80099, 306, 'BUS80099', 'One Model', 49, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80100, 305, 'BUS80100', 'Necessary Model', 40, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80101, 314, 'BUS80101', 'Have Model', 40, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80102, 315, 'BUS80102', 'Explain Model', 39, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80103, 313, 'BUS80103', 'Growth Model', 34, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80104, 319, 'BUS80104', 'Important Model', 30, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80105, 308, 'BUS80105', 'Economy Model', 35, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80106, 305, 'BUS80106', 'Voice Model', 44, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80107, 317, 'BUS80107', 'Material Model', 48, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80108, 316, 'BUS80108', 'Go Model', 32, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80109, 317, 'BUS80109', 'Among Model', 36, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80110, 314, 'BUS80110', 'Religious Model', 37, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80111, 305, 'BUS80111', 'Myself Model', 46, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80112, 308, 'BUS80112', 'Tend Model', 46, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80113, 305, 'BUS80113', 'Practice Model', 50, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80114, 310, 'BUS80114', 'Management Model', 50, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80115, 309, 'BUS80115', 'Create Model', 37, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80116, 307, 'BUS80116', 'Kid Model', 45, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80117, 304, 'BUS80117', 'Guy Model', 37, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80118, 310, 'BUS80118', 'Consider Model', 49, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80119, 304, 'BUS80119', 'Democratic Model', 40, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80120, 319, 'BUS80120', 'Example Model', 30, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80121, 317, 'BUS80121', 'Population Model', 40, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80122, 305, 'BUS80122', 'Need Model', 31, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80123, 301, 'BUS80123', 'Five Model', 36, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80124, 314, 'BUS80124', 'Tough Model', 42, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80125, 316, 'BUS80125', 'Edge Model', 32, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80126, 304, 'BUS80126', 'Little Model', 33, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80127, 303, 'BUS80127', 'Visit Model', 41, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80128, 316, 'BUS80128', 'Exactly Model', 44, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80129, 310, 'BUS80129', 'Let Model', 37, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80130, 306, 'BUS80130', 'Body Model', 41, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80131, 314, 'BUS80131', 'Three Model', 47, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80132, 310, 'BUS80132', 'Treat Model', 31, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80133, 301, 'BUS80133', 'Word Model', 43, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80134, 306, 'BUS80134', 'Learn Model', 33, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80135, 307, 'BUS80135', 'Win Model', 43, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80136, 320, 'BUS80136', 'Call Model', 41, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80137, 309, 'BUS80137', 'Garden Model', 42, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80138, 310, 'BUS80138', 'Like Model', 41, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80139, 313, 'BUS80139', 'Nice Model', 34, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80140, 311, 'BUS80140', 'Last Model', 35, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80141, 304, 'BUS80141', 'Season Model', 31, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80142, 309, 'BUS80142', 'Face Model', 40, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80143, 308, 'BUS80143', 'Pm Model', 37, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80144, 309, 'BUS80144', 'Agent Model', 36, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80145, 316, 'BUS80145', 'Fund Model', 34, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80146, 320, 'BUS80146', 'Catch Model', 37, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80147, 318, 'BUS80147', 'Large Model', 40, 'Active', 2021, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80148, 306, 'BUS80148', 'Conference Model', 45, 'Active', 2018, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80149, 311, 'BUS80149', 'Shake Model', 48, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80150, 302, 'BUS80150', 'Us Model', 36, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80151, 318, 'BUS80151', 'Simple Model', 48, 'Active', 2020, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80152, 301, 'BUS80152', 'Crime Model', 39, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80153, 307, 'BUS80153', 'Control Model', 30, 'Active', 2024, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80154, 306, 'BUS80154', 'Data Model', 35, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80155, 315, 'BUS80155', 'Thank Model', 47, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80156, 318, 'BUS80156', 'Traditional Model', 30, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80157, 308, 'BUS80157', 'Popular Model', 43, 'Active', 2022, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80158, 313, 'BUS80158', 'Range Model', 30, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80159, 311, 'BUS80159', 'To Model', 40, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80160, 317, 'BUS80160', 'Common Model', 37, 'Active', 2019, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80161, 317, 'BUS80161', 'Also Model', 36, 'Active', 2023, 'Standard Coach');
INSERT INTO Bus (busID, companyID, plateNo, model, capacity, status, year, remarks) VALUES (80162, 307, 'BUS80162', 'Office Model', 36, 'Active', 2023, 'Standard Coach');
